ds,district,y,price_ghs_per_sqm,price_usd_per_sqm
2018-11-01,Dome,116.37,3349,698
2018-12-01,Dome,117.95,3394,700
2019-01-01,Dome,116.28,3346,682
2019-02-01,Dome,118.23,3402,686
2019-03-01,Dome,119.12,3428,685
2019-04-01,Dome,121.75,3504,692
2019-05-01,Dome,124.21,3574,699
2019-06-01,Dome,127.61,3672,711
2019-07-01,Dome,129.94,3739,717
2019-08-01,Dome,130.1,3744,713
2019-09-01,Dome,129.59,3729,706
2019-10-01,Dome,126.61,3643,686
2019-11-01,Dome,126.61,3644,682
2019-12-01,Dome,124.6,3586,667
2020-01-01,Dome,122.47,3524,652
2020-02-01,Dome,126.42,3638,669
2020-03-01,Dome,125.68,3617,661
2020-04-01,Dome,126.47,3639,662
2020-05-01,Dome,127.15,3659,661
2020-06-01,Dome,129.48,3726,670
2020-07-01,Dome,129.11,3715,664
2020-08-01,Dome,133.27,3835,683
2020-09-01,Dome,133.54,3843,682
2020-10-01,Dome,128.92,3710,657
2020-11-01,Dome,129.43,3725,657
2020-12-01,Dome,130.76,3763,662
2021-01-01,Dome,131.2,3775,662
2021-02-01,Dome,130.05,3742,654
2021-03-01,Dome,134.28,3864,674
2021-04-01,Dome,136.48,3928,683
2021-05-01,Dome,140.12,4032,699
2021-06-01,Dome,140.63,4047,699
2021-07-01,Dome,145.57,4189,722
2021-08-01,Dome,146.32,4211,700
2021-09-01,Dome,152.34,4384,704
2021-10-01,Dome,152.17,4379,681
2021-11-01,Dome,153.45,4416,665
2021-12-01,Dome,157.67,4537,663
2022-01-01,Dome,160.77,4627,656
2022-02-01,Dome,166.13,4781,659
2022-03-01,Dome,168.94,4862,653
2022-04-01,Dome,173.75,5000,653
2022-05-01,Dome,180.08,5182,659
2022-06-01,Dome,188.08,5412,671
2022-07-01,Dome,193.91,5580,675
2022-08-01,Dome,198.15,5702,670
2022-09-01,Dome,206.69,5948,681
2022-10-01,Dome,209.81,6038,673
2022-11-01,Dome,215.32,6196,674
2022-12-01,Dome,216.53,6231,661
2023-01-01,Dome,228.08,6563,680
2023-02-01,Dome,230.48,6632,671
2023-03-01,Dome,238.51,6864,679
2023-04-01,Dome,255.23,7345,711
2023-05-01,Dome,262.86,7564,716
2023-06-01,Dome,275.94,7941,736
2023-07-01,Dome,285.31,8210,745
2023-08-01,Dome,295.51,8504,753
2023-09-01,Dome,309.12,8896,770
2023-10-01,Dome,317.53,9138,773
2023-11-01,Dome,315.39,9076,751
2023-12-01,Dome,321.76,9259,750
2024-01-01,Dome,321.35,9248,733
2024-02-01,Dome,338.25,9734,756
2024-03-01,Dome,347.18,9991,761
2024-04-01,Dome,365.4,10515,785
2024-05-01,Dome,379.54,10922,800
2024-06-01,Dome,394.14,11342,815
2024-07-01,Dome,398.16,11458,808
2024-08-01,Dome,403.57,11614,819
2024-09-01,Dome,396.94,11423,805
2024-10-01,Dome,400.25,11518,812
2024-11-01,Dome,389.46,11207,790
2024-12-01,Dome,389.58,11211,791
2010-01-01,Kasoa,26.27,546,381
2010-02-01,Kasoa,27.08,562,393
2010-03-01,Kasoa,27.18,564,395
2010-04-01,Kasoa,27.88,579,405
2010-05-01,Kasoa,27.61,573,401
2010-06-01,Kasoa,28.02,582,407
2010-07-01,Kasoa,28.34,588,411
2010-08-01,Kasoa,29.2,606,422
2010-09-01,Kasoa,29.53,613,424
2010-10-01,Kasoa,29.43,611,421
2010-11-01,Kasoa,29.66,616,422
2010-12-01,Kasoa,29.93,621,423
2011-01-01,Kasoa,30.25,628,426
2011-02-01,Kasoa,31.08,645,435
2011-03-01,Kasoa,31.55,655,439
2011-04-01,Kasoa,32.27,670,447
2011-05-01,Kasoa,33.51,696,462
2011-06-01,Kasoa,33.83,702,464
2011-07-01,Kasoa,35.38,735,483
2011-08-01,Kasoa,36.65,761,492
2011-09-01,Kasoa,37.07,770,490
2011-10-01,Kasoa,37.87,786,492
2011-11-01,Kasoa,38.66,803,495
2011-12-01,Kasoa,38.63,802,487
2012-01-01,Kasoa,38.97,809,483
2012-02-01,Kasoa,40.84,848,499
2012-03-01,Kasoa,41.39,859,499
2012-04-01,Kasoa,43.89,911,521
2012-05-01,Kasoa,44.58,925,522
2012-06-01,Kasoa,45.66,948,527
2012-07-01,Kasoa,48.06,998,547
2012-08-01,Kasoa,49.11,1020,555
2012-09-01,Kasoa,50.2,1042,563
2012-10-01,Kasoa,51.96,1079,579
2012-11-01,Kasoa,50.62,1051,560
2012-12-01,Kasoa,51.34,1066,564
2013-01-01,Kasoa,51.77,1075,565
2013-02-01,Kasoa,53.87,1119,583
2013-03-01,Kasoa,55.21,1146,594
2013-04-01,Kasoa,57.03,1184,610
2013-05-01,Kasoa,59.53,1236,632
2013-06-01,Kasoa,59.29,1231,625
2013-07-01,Kasoa,61.86,1284,648
2013-08-01,Kasoa,63.39,1316,639
2013-09-01,Kasoa,65.19,1353,633
2013-10-01,Kasoa,65.95,1369,619
2013-11-01,Kasoa,68.45,1421,621
2013-12-01,Kasoa,67.13,1394,589
2014-01-01,Kasoa,70.08,1455,596
2014-02-01,Kasoa,70.85,1471,584
2014-03-01,Kasoa,75.61,1570,606
2014-04-01,Kasoa,75.88,1575,590
2014-05-01,Kasoa,79.83,1658,604
2014-06-01,Kasoa,81.44,1691,599
2014-07-01,Kasoa,83.14,1726,596
2014-08-01,Kasoa,88.05,1828,616
2014-09-01,Kasoa,85.98,1785,588
2014-10-01,Kasoa,86.0,1786,575
2014-11-01,Kasoa,89.09,1850,583
2014-12-01,Kasoa,87.58,1818,561
2015-01-01,Kasoa,90.43,1878,567
2015-02-01,Kasoa,92.66,1924,569
2015-03-01,Kasoa,94.01,1952,567
2015-04-01,Kasoa,97.74,2029,578
2015-05-01,Kasoa,98.74,2050,573
2015-06-01,Kasoa,103.5,2149,589
2015-07-01,Kasoa,104.65,2173,585
2015-08-01,Kasoa,105.04,2181,584
2015-09-01,Kasoa,104.27,2165,578
2015-10-01,Kasoa,103.45,2148,571
2015-11-01,Kasoa,103.34,2146,568
2015-12-01,Kasoa,102.17,2121,559
2016-01-01,Kasoa,100.82,2093,549
2016-02-01,Kasoa,101.05,2098,548
2016-03-01,Kasoa,103.13,2141,557
2016-04-01,Kasoa,104.91,2178,564
2016-05-01,Kasoa,104.55,2171,560
2016-06-01,Kasoa,105.03,2181,560
2016-07-01,Kasoa,108.15,2245,574
2016-08-01,Kasoa,108.1,2244,569
2016-09-01,Kasoa,108.32,2249,564
2016-10-01,Kasoa,108.55,2254,560
2016-11-01,Kasoa,107.0,2222,547
2016-12-01,Kasoa,107.07,2223,543
2017-01-01,Kasoa,109.72,2278,551
2017-02-01,Kasoa,110.58,2296,551
2017-03-01,Kasoa,111.56,2316,551
2017-04-01,Kasoa,113.05,2347,554
2017-05-01,Kasoa,117.07,2431,568
2017-06-01,Kasoa,118.37,2458,570
2017-07-01,Kasoa,119.35,2478,570
2017-08-01,Kasoa,120.91,2510,574
2017-09-01,Kasoa,120.43,2500,569
2017-10-01,Kasoa,118.89,2468,560
2017-11-01,Kasoa,117.98,2449,553
2017-12-01,Kasoa,117.07,2431,546
2018-01-01,Kasoa,117.1,2431,544
2018-02-01,Kasoa,117.98,2449,546
2018-03-01,Kasoa,114.95,2387,530
2018-04-01,Kasoa,121.55,2524,557
2018-05-01,Kasoa,119.73,2486,547
2018-06-01,Kasoa,124.52,2585,566
2018-07-01,Kasoa,124.6,2587,564
2018-08-01,Kasoa,123.94,2573,555
2018-09-01,Kasoa,126.55,2627,560
2018-10-01,Kasoa,126.21,2620,552
2018-11-01,Kasoa,127.55,2648,552
2018-12-01,Kasoa,127.84,2654,547
2019-01-01,Kasoa,127.8,2653,541
2019-02-01,Kasoa,127.25,2642,533
2019-03-01,Kasoa,130.43,2708,541
2019-04-01,Kasoa,135.33,2810,555
2019-05-01,Kasoa,139.52,2897,567
2019-06-01,Kasoa,140.75,2922,566
2019-07-01,Kasoa,141.75,2943,564
2019-08-01,Kasoa,142.81,2965,565
2019-09-01,Kasoa,140.68,2921,553
2019-10-01,Kasoa,143.29,2975,560
2019-11-01,Kasoa,141.55,2939,550
2019-12-01,Kasoa,137.36,2852,531
2020-01-01,Kasoa,138.0,2865,530
2020-02-01,Kasoa,138.21,2869,528
2020-03-01,Kasoa,142.06,2949,539
2020-04-01,Kasoa,142.12,2951,536
2020-05-01,Kasoa,141.43,2936,531
2020-06-01,Kasoa,145.84,3028,544
2020-07-01,Kasoa,148.36,3080,550
2020-08-01,Kasoa,147.06,3053,544
2020-09-01,Kasoa,150.15,3117,554
2020-10-01,Kasoa,147.32,3059,541
2020-11-01,Kasoa,151.08,3137,554
2020-12-01,Kasoa,148.72,3088,543
2021-01-01,Kasoa,148.76,3089,542
2021-02-01,Kasoa,152.6,3168,554
2021-03-01,Kasoa,153.39,3185,555
2021-04-01,Kasoa,157.52,3270,568
2021-05-01,Kasoa,157.4,3268,566
2021-06-01,Kasoa,163.07,3386,585
2021-07-01,Kasoa,165.11,3428,590
2021-08-01,Kasoa,170.6,3542,589
2021-09-01,Kasoa,173.33,3599,578
2021-10-01,Kasoa,176.04,3655,569
2021-11-01,Kasoa,179.95,3736,563
2021-12-01,Kasoa,182.13,3781,553
2022-01-01,Kasoa,186.39,3870,549
2022-02-01,Kasoa,194.06,4029,555
2022-03-01,Kasoa,198.08,4112,552
2022-04-01,Kasoa,207.84,4315,564
2022-05-01,Kasoa,211.97,4401,560
2022-06-01,Kasoa,222.6,4622,573
2022-07-01,Kasoa,225.85,4689,567
2022-08-01,Kasoa,233.65,4851,570
2022-09-01,Kasoa,241.2,5008,573
2022-10-01,Kasoa,247.78,5144,574
2022-11-01,Kasoa,255.33,5301,576
2022-12-01,Kasoa,260.75,5414,574
2023-01-01,Kasoa,272.53,5658,586
2023-02-01,Kasoa,285.09,5919,598
2023-03-01,Kasoa,292.79,6079,602
2023-04-01,Kasoa,303.18,6295,609
2023-05-01,Kasoa,314.54,6531,618
2023-06-01,Kasoa,334.51,6945,643
2023-07-01,Kasoa,348.64,7239,657
2023-08-01,Kasoa,354.09,7352,651
2023-09-01,Kasoa,369.65,7675,664
2023-10-01,Kasoa,372.41,7732,654
2023-11-01,Kasoa,390.41,8106,671
2023-12-01,Kasoa,386.45,8023,650
2024-01-01,Kasoa,400.87,8323,660
2024-02-01,Kasoa,415.58,8628,670
2024-03-01,Kasoa,419.59,8712,664
2024-04-01,Kasoa,452.77,9400,702
2024-05-01,Kasoa,470.2,9762,715
2024-06-01,Kasoa,487.54,10122,727
2024-07-01,Kasoa,509.89,10586,746
2024-08-01,Kasoa,507.26,10532,743
2024-09-01,Kasoa,498.3,10346,729
2024-10-01,Kasoa,492.69,10229,721
2024-11-01,Kasoa,490.46,10183,718
2024-12-01,Kasoa,489.14,10156,716
